05/06,Memphis Grizzlies,408,1223,2283,4949,1465,1942,927,2404,1605,597,456,1213,1867,7255
05/06,San Antonio Spurs,300,886,2482,5534,1414,1912,886,2417,1336,599,343,1136,1709,7278
05/06,Detroit Pistons,329,1012,2586,5438,1235,1677,951,2399,1541,481,285,1145,1726,7394
05/06,Houston Rockets,541,1465,2167,4845,1560,2135,874,2477,1647,582,373,1094,1716,7517
05/06,Indiana Pacers,371,1083,2460,5421,1511,2060,968,2416,1520,661,399,1112,1800,7544
05/06,Brooklyn/New Jersey Nets,465,1336,2265,4886,1654,2232,787,2599,1641,589,329,1177,1889,7579
05/06,Dallas Mavericks,404,1120,2397,5199,1626,2163,935,2209,1433,536,400,1151,1958,7632
05/06,Minnesota Timberwolves,447,1229,2405,5245,1525,2072,974,2411,1554,539,374,1139,1736,7676
05/06,Utah Jazz,490,1297,2240,4780,1839,2466,871,2237,1511,663,463,1166,2104,7789
05/06,Cleveland Cavaliers,459,1291,2490,5190,1462,1970,807,2421,1666,540,357,1079,1842,7819
05/06,Los Angeles Clippers,474,1367,2413,5271,1593,2175,858,2432,1765,570,355,1053,1777,7841
05/06,New Orleans/Oklahoma City Hornets/New Orleans Hornets/Pelicans,546,1486,2337,4800,1530,2014,860,2498,1584,527,432,1197,1910,7842
05/06,Orlando Magic,460,1287,2410,5040,1672,2285,911,2239,1644,615,386,1099,1899,7872
05/06,Miami Heat,490,1359,2381,5170,1642,2223,826,2359,1596,560,298,1063,1938,7874
05/06,Los Angeles Lakers,474,1342,2471,5205,1585,2123,893,2399,1730,536,354,1158,1925,7949
05/06,Chicago Bulls,501,1428,2272,5087,1921,2472,881,2541,1652,611,420,1228,1883,7968
05/06,Sacramento Kings,462,1316,2591,5410,1412,1891,953,2503,1733,656,403,1199,1886,7980
05/06,Portland Trail Blazers,498,1306,2534,5166,1498,1971,1029,2445,1737,592,403,1060,1704,8060
05/06,Milwaukee Bucks,490,1385,2482,4998,1671,2237,832,2475,1847,606,414,1182,1937,8105
05/06,Boston Celtics,446,1265,2498,5197,1825,2457,910,2369,1763,688,404,1210,1837,8159
05/06,Washington Wizards,501,1379,2513,5098,1655,2222,964,2477,1766,537,341,1326,2075,8184
05/06,Golden State Warriors,469,1335,2578,5339,1624,2187,985,2662,1828,576,409,1258,1919,8187
05/06,Denver Nuggets,530,1480,2540,5284,1538,2090,965,2469,1959,586,436,1323,1911,8208
05/06,Charlotte Bobcats/Hornets,458,1285,2607,5125,1683,2283,940,2667,1881,577,441,1464,1929,8271
05/06,Philadelphia 76ers,498,1420,2602,5279,1609,2111,974,2533,1882,630,386,1269,1898,8307
05/06,Atlanta Hawks,444,1205,2631,5228,1768,2372,981,2335,1689,597,422,1227,1855,8362
05/06,New York Knicks,565,1495,2402,4864,1868,2480,883,2280,1744,674,437,1154,2079,8367
05/06,Phoenix Suns,516,1423,2727,5718,1429,1956,1028,2735,1546,591,282,1218,1623,8431
05/06,Toronto Raptors,508,1363,2656,5085,1696,2267,835,2539,1938,518,359,1165,1834,8532
05/06,Seattle SuperSonics/Oklahoma City Thunder,542,1445,2660,5151,1713,2255,1003,2316,1973,598,399,1194,1820,8659
06/07,San Antonio Spurs,368,1101,2492,5362,1300,1756,829,2379,1416,580,337,1176,1739,7388
06/07,Detroit Pistons,409,1205,2410,5132,1484,2006,973,2403,1647,521,290,1205,1668,7531
06/07,Houston Rockets,472,1346,2321,5157,1497,2000,800,2548,1588,571,353,1163,1631,7555
06/07,Dallas Mavericks,375,1074,2415,5167,1654,2216,839,2286,1471,565,312,1190,1811,7609
06/07,Cleveland Cavaliers,405,1231,2433,5106,1539,2096,807,2461,1649,540,349,1254,1804,7620
06/07,Chicago Bulls,484,1387,2309,5029,1619,2219,897,2456,1675,614,433,1429,1900,7689
06/07,Orlando Magic,461,1306,2278,4885,1768,2327,865,2217,1609,678,376,1232,1921,7707
06/07,Miami Heat,531,1495,2364,5022,1513,2039,921,2467,1656,562,314,1185,1790,7834
06/07,Los Angeles Clippers,455,1341,2457,5095,1602,2142,843,2377,1722,582,321,1132,1829,7881
06/07,New Orleans/Oklahoma City Hornets/New Orleans Hornets/Pelicans,559,1575,2445,5004,1395,1839,853,2493,1703,554,392,1119,1733,7962
06/07,Philadelphia 76ers,503,1424,2536,5146,1452,1926,969,2404,1825,606,320,1280,1801,8033
06/07,Indiana Pacers,437,1175,2494,5241,1741,2311,915,2499,1642,644,410,1289,1942,8040
06/07,Brooklyn/New Jersey Nets,519,1455,2392,5021,1723,2261,867,2526,1805,584,369,1188,1886,8064
06/07,Portland Trail Blazers,467,1293,2495,4999,1678,2157,850,2347,1703,539,380,1127,1750,8069
06/07,Atlanta Hawks,465,1236,2488,5099,1699,2315,948,2370,1732,597,421,1247,1853,8070
06/07,Toronto Raptors,533,1491,2518,5102,1441,1911,848,2641,1742,489,317,1241,1786,8076
06/07,Utah Jazz,506,1424,2313,4767,1943,2534,813,2223,1552,623,438,1230,2010,8087
06/07,Boston Celtics,429,1212,2537,5125,1776,2376,848,2476,1811,604,449,1250,1757,8137
06/07,Minnesota Timberwolves,518,1488,2557,5201,1510,1987,957,2438,1782,583,360,1163,1679,8178
06/07,New York Knicks,573,1523,2448,5043,1613,2135,885,2297,1748,616,406,1122,1875,8228
06/07,Charlotte Bobcats/Hornets,452,1245,2547,5205,1802,2404,929,2562,1717,603,437,1296,1786,8252
06/07,Seattle SuperSonics/Oklahoma City Thunder,519,1437,2607,5131,1596,2124,954,2408,1870,590,341,1233,1635,8367
06/07,Phoenix Suns,504,1387,2734,5700,1458,1901,1008,2504,1548,566,304,1242,1759,8438
06/07,Sacramento Kings,557,1524,2590,5147,1600,2115,907,2648,1840,572,405,1335,1990,8451
06/07,Los Angeles Lakers,523,1462,2574,5257,1763,2320,955,2508,1798,649,409,1208,1916,8480
06/07,Denver Nuggets,554,1569,2703,5519,1438,1945,1006,2461,2010,680,424,1343,1946,8506
06/07,Milwaukee Bucks,565,1537,2636,5136,1564,2109,1062,2468,2077,615,433,1284,1718,8531
06/07,Washington Wizards,598,1585,2568,5115,1668,2146,973,2551,1942,519,380,1291,1927,8598
06/07,Memphis Grizzlies,576,1480,2711,5281,1603,2113,965,2483,2062,681,450,1253,1992,8753
06/07,Golden State Warriors,609,1664,2562,5207,1814,2419,1074,2733,2023,680,399,1525,1832,8765
07/08,Detroit Pistons,409,1233,2318,5006,1523,2047,865,2344,1563,477,319,1108,1618,7386
07/08,Boston Celtics,485,1535,2172,4806,1605,2160,899,2290,1539,594,389,1308,1818,7404
07/08,San Antonio Spurs,420,1227,2437,5204,1293,1710,776,2527,1490,566,361,1058,1625,7427
07/08,Houston Rockets,433,1186,2419,5408,1410,1912,894,2441,1548,622,379,1094,1615,7547
07/08,New Orleans/Oklahoma City Hornets/New Orleans Hornets/Pelicans,544,1552,2494,5052,1217,1579,815,2533,1779,470,331,1136,1573,7837
07/08,Dallas Mavericks,408,1168,2495,5383,1648,2168,882,2419,1547,536,357,999,1739,7862
07/08,Philadelphia 76ers,557,1549,2443,4955,1332,1726,923,2293,1903,550,420,1289,1708,7889
07/08,Portland Trail Blazers,533,1499,2450,5117,1401,1828,957,2465,1714,488,301,1026,1656,7900
07/08,Cleveland Cavaliers,506,1419,2433,5043,1548,2070,814,2500,1721,559,388,1092,1666,7932
07/08,Toronto Raptors,619,1683,2388,4886,1344,1732,830,2583,1797,470,333,1149,1508,7977
07/08,Orlando Magic,516,1441,2541,5414,1489,1975,900,2519,1764,581,344,1081,1898,8119
07/08,Washington Wizards,683,1768,2332,4769,1418,1880,900,2478,1958,529,360,1149,1656,8131
07/08,Utah Jazz,506,1419,2390,4867,1848,2468,844,2256,1629,619,420,1305,1891,8146
07/08,Miami Heat,552,1497,2477,4980,1590,2105,916,2617,1817,631,341,1166,1650,8200
07/08,Atlanta Hawks,512,1413,2603,5320,1461,1943,968,2386,1825,615,421,1123,1793,8203
07/08,Chicago Bulls,571,1522,2411,5061,1699,2217,914,2582,1794,648,465,1254,1746,8234
07/08,Brooklyn/New Jersey Nets,534,1448,2448,5095,1774,2311,896,2517,1810,662,362,1098,1836,8272
07/08,Los Angeles Clippers,486,1393,2628,5277,1574,2096,916,2657,1834,590,388,1112,1773,8288
07/08,Los Angeles Lakers,554,1531,2573,5491,1501,1995,988,2521,1793,634,368,1168,1850,8309
07/08,Charlotte Bobcats/Hornets,517,1456,2598,5228,1571,2102,999,2588,1785,625,476,1177,1721,8318
07/08,Minnesota Timberwolves,541,1516,2515,4965,1742,2266,871,2545,1899,610,467,1103,1434,8395
07/08,New York Knicks,587,1592,2597,5119,1535,2078,924,2573,1773,621,429,1046,1665,8490
07/08,Milwaukee Bucks,588,1530,2559,5032,1639,2141,872,2464,1913,647,404,1125,1727,8521
07/08,Sacramento Kings,597,1600,2540,5132,1722,2287,970,2465,1878,661,452,1250,1892,8593
07/08,Phoenix Suns,469,1329,2899,6055,1407,1879,1101,2498,1607,601,311,1101,1731,8612
07/08,Indiana Pacers,606,1571,2487,5246,1850,2443,929,2800,1820,663,416,1297,1782,8642
07/08,Seattle SuperSonics/Oklahoma City Thunder,607,1576,2681,5560,1534,2048,961,2655,1997,706,440,1082,1610,8717
07/08,Memphis Grizzlies,591,1625,2803,5451,1387,1791,932,2721,1963,711,403,1096,1842,8766
07/08,Denver Nuggets,621,1710,2713,5593,1481,2028,1042,2680,2107,644,393,1343,1950,8770
07/08,Golden State Warriors,572,1556,2701,5442,1806,2378,1053,2803,1939,567,413,1384,1736,8924
08/09,Cleveland Cavaliers,482,1447,2293,4997,1459,1895,878,2310,1568,519,338,1137,1664,7491
08/09,San Antonio Spurs,447,1180,2526,5388,1257,1635,745,2570,1481,531,352,961,1511,7650
08/09,Boston Celtics,507,1452,2256,4966,1626,2110,834,2249,1553,585,389,1195,1820,7659
08/09,Portland Trail Blazers,487,1301,2412,5001,1430,1780,786,2190,1590,514,319,1082,1733,7715
08/09,New Orleans/Oklahoma City Hornets/New Orleans Hornets/Pelicans,575,1625,2276,4704,1453,1879,822,2459,1649,476,290,1089,1675,7730
08/09,Orlando Magic,444,1297,2492,5488,1421,1882,864,2591,1488,564,308,1072,1840,7737
08/09,Houston Rockets,464,1298,2527,5437,1296,1730,873,2399,1620,588,435,1012,1689,7742
08/09,Detroit Pistons,435,1228,2441,5152,1580,2039,861,2453,1651,461,342,964,1612,7767
08/09,Charlotte Bobcats/Hornets,558,1526,2325,4823,1457,1928,877,2310,1604,626,488,1206,1714,7781
08/09,Atlanta Hawks,528,1496,2474,5113,1385,1800,955,2481,1705,530,354,1121,1681,7917
08/09,Philadelphia 76ers,585,1595,2412,4894,1402,1792,935,2285,1799,575,400,1278,1786,7981
08/09,Miami Heat,591,1519,2329,4893,1609,2086,896,2536,1646,528,335,1246,1632,8040
08/09,Los Angeles Lakers,586,1700,2464,5125,1454,1931,959,2440,1854,635,392,1275,1816,8140
08/09,Memphis Grizzlies,536,1510,2482,4868,1574,2043,842,2431,1735,632,443,1194,1786,8146
08/09,Dallas Mavericks,517,1379,2554,5373,1522,1907,884,2509,1611,589,334,1064,1645,8181
08/09,Milwaukee Bucks,562,1486,2292,4747,1961,2480,831,2527,1730,616,376,1350,1842,8231
08/09,Brooklyn/New Jersey Nets,600,1536,2353,4849,1738,2281,872,2523,1793,567,393,1103,1680,8244
08/09,Utah Jazz,534,1479,2485,5030,1703,2233,908,2393,1640,658,424,1323,1972,8275
08/09,Denver Nuggets,601,1643,2365,5095,1742,2228,991,2391,1756,648,447,1265,1944,8275
08/09,Toronto Raptors,629,1716,2543,5111,1379,1759,895,2539,1887,521,386,1093,1645,8352
08/09,Chicago Bulls,486,1400,2655,5464,1633,2077,1017,2491,1723,622,449,1177,1708,8401
08/09,Minnesota Timberwolves,536,1420,2573,5141,1668,2145,813,2539,1765,610,484,1028,1642,8422
08/09,Seattle SuperSonics/Oklahoma City Thunder,524,1439,2706,5360,1468,1930,884,2496,1769,697,407,1140,1656,8452
08/09,Washington Wizards,674,1740,2490,4825,1487,1959,934,2491,2015,593,431,1140,1638,8489
08/09,Los Angeles Clippers,536,1431,2682,5374,1546,2035,962,2653,1951,652,414,1093,1609,8518
08/09,Indiana Pacers,569,1519,2572,5343,1857,2431,909,2708,1731,635,444,1151,1692,8708
08/09,Phoenix Suns,626,1635,2652,5390,1634,2108,993,2352,1741,706,369,1165,1877,8816
08/09,New York Knicks,571,1625,2807,5416,1514,1998,954,2826,1774,654,437,1188,1592,8841
08/09,Sacramento Kings,580,1430,2701,5362,1824,2412,1018,2592,1796,704,423,1178,1737,8966
08/09,Golden State Warriors,582,1531,2819,5742,1828,2346,1165,2695,1980,647,414,1229,1927,9212
09/10,Charlotte Bobcats/Hornets,573,1696,2352,4840,1270,1710,868,2382,1666,614,502,1256,1804,7693
09/10,Miami Heat,524,1531,2289,4877,1577,2091,856,2483,1545,517,355,1184,1639,7727
09/10,Portland Trail Blazers,480,1399,2470,4953,1394,1870,801,2322,1583,485,333,1104,1767,7774
09/10,Orlando Magic,522,1437,2433,5302,1380,1830,800,2481,1550,551,288,1050,1819,7812
09/10,Boston Celtics,470,1375,2410,5015,1606,2152,868,2418,1585,578,386,1283,1777,7836
09/10,Cleveland Cavaliers,524,1511,2411,5122,1444,1907,794,2366,1661,542,325,1045,1708,7838
09/10,Milwaukee Bucks,438,1276,2432,5085,1692,2211,790,2722,1581,573,421,1254,1664,7870
09/10,San Antonio Spurs,412,1200,2613,5491,1433,1896,814,2427,1576,567,417,1032,1672,7895
09/10,Los Angeles Lakers,520,1585,2530,5255,1332,1776,914,2546,1792,573,363,1159,1737,7952
09/10,Atlanta Hawks,480,1392,2568,5231,1380,1852,922,2471,1719,506,359,1135,1582,7956
09/10,Seattle SuperSonics/Oklahoma City Thunder,481,1414,2526,5304,1541,2018,937,2397,1618,616,384,1238,1755,8036
09/10,Utah Jazz,552,1559,2356,4912,1741,2286,837,2376,1628,632,445,1238,1818,8109
09/10,Chicago Bulls,584,1680,2459,5205,1457,1958,916,2589,1715,578,438,1090,1643,8127
09/10,Detroit Pistons,568,1514,2397,4658,1630,2124,814,2420,1898,549,401,1174,1702,8128
09/10,Dallas Mavericks,525,1515,2582,5290,1402,1849,922,2592,1659,563,337,1195,1652,8141
09/10,Washington Wizards,528,1466,2555,5198,1590,2088,935,2530,1772,569,415,1115,1684,8284
09/10,Brooklyn/New Jersey Nets,468,1278,2704,5315,1511,2021,925,2683,1960,638,421,1149,1647,8323
09/10,Philadelphia 76ers,606,1542,2499,5031,1518,1983,888,2470,1810,621,332,1189,1534,8334
09/10,Los Angeles Clippers,529,1457,2664,5335,1455,1910,879,2490,1926,686,363,1059,1588,8370
09/10,Denver Nuggets,523,1498,2565,5268,1695,2207,955,2513,1723,578,438,1235,1943,8394
09/10,New Orleans/Oklahoma City Hornets/New Orleans Hornets/Pelicans,539,1517,2711,5213,1383,1841,870,2586,1925,574,367,1177,1597,8422
09/10,Houston Rockets,489,1344,2747,5466,1464,1917,875,2632,1716,597,532,1207,1840,8425
09/10,Indiana Pacers,510,1405,2603,5470,1774,2346,969,2852,1694,654,414,1227,1709,8510
09/10,Memphis Grizzlies,572,1618,2705,5231,1402,1858,907,2349,1875,635,501,1165,1840,8528
09/10,Sacramento Kings,497,1391,2702,5437,1663,2149,909,2538,1683,586,468,1120,1650,8558
09/10,Phoenix Suns,561,1582,2674,5583,1606,2114,1081,2391,1704,646,365,1065,1789,8637
09/10,Toronto Raptors,609,1665,2585,5159,1683,2146,933,2453,1889,580,360,1040,1730,8680
09/10,New York Knicks,553,1571,2799,5331,1429,1896,959,2724,1723,585,368,1182,1576,8686
09/10,Minnesota Timberwolves,618,1690,2725,5271,1534,1981,917,2640,2103,721,442,1173,1686,8838
